READ SERR 1 2
@wdata.pco
!
2.0211902 0.009950042 0.5155592 1
2.038605 0.0074648857 1.5433865 1
2.056025 0.009955049 0.24639739 1
2.07594 0.009959936 -0.22326846 1
2.09337 0.007470131 0.8294795 1
2.1083102 0.0074700117 0.85303456 1
2.125745 0.009964943 0.30280146 1
2.14319 0.007479906 1.1103814 1
2.16064 0.009970188 0.5570762 1
2.183075 0.012464881 -1.4762133 1
2.205515 0.009975076 0.46817467 1
2.2279649 0.0124748945 -0.85750884 1
2.2554097 0.014969945 -1.540036 1
2.277865 0.0074851513 1.807103 1
2.29783 0.0124800205 0.70737684 1
2.3227901 0.012479901 0.7879091 1
2.34526 0.009989977 1.3814644 1
2.37023 0.014980078 -0.34727094 1
2.40519 0.019979954 -1.563893 1
2.442655 0.017485023 -1.0445147 1
2.47513 0.014990091 -0.32922164 1
2.50761 0.01748991 -0.49660763 1
2.5350952 0.009995103 1.7356068 1
2.5550852 0.009994984 1.9459199 1
2.5775752 0.012494922 0.51486146 1
2.607565 0.017495036 -0.35423923 1
2.6375551 0.012495041 1.0040115 1
2.6625452 0.012494922 1.3044652 1
2.69004 0.014999986 0.8867213 1
2.720035 0.014994979 0.1900797 1
2.7525249 0.017495036 -0.40988356 1
2.78752 0.017500043 -0.2434446 1
2.822515 0.017494917 0.051498327 1
2.85751 0.017500043 -0.045695983 1
2.89751 0.022500038 -1.7976053 1
2.93251 0.0124999285 1.0955409 1
2.9725099 0.027500033 -2.4402633 1
3.015005 0.014994979 0.49038035 1
3.04 0.00999999 2.521938 1
3.0675 0.017500043 -0.11315282 1
3.1125002 0.027500033 -1.4886411 1
3.165 0.024999976 -1.0068693 1
3.21 0.01999998 -0.017292187 1
3.255 0.024999976 -1.2266729 1
3.3049998 0.024999976 -1.4209831 1
3.3449998 0.014999986 1.56292 1
3.3775 0.017500043 0.5271632 1
3.4125 0.017500043 0.97910124 1
3.4524999 0.022499919 0.5416418 1
3.495 0.0200001 0.23256865 1
3.5325 0.017499924 0.62511814 1
3.57 0.01999998 0.42200756 1
3.6100001 0.0200001 0.71004635 1
3.6550002 0.024999976 -0.87634504 1
3.7 0.01999998 0.65710235 1
3.74 0.01999998 0.62340707 1
3.7825 0.022500038 -0.09178527 1
3.825 0.01999998 0.9329195 1
3.87 0.024999976 0.07813885 1
3.92 0.024999976 0.14060493 1
3.9724998 0.027500033 -0.47445682 1
4.0299997 0.029999971 -0.5368861 1
4.0924997 0.03250003 -1.408199 1
4.1525 0.027499914 0.14648719 1
4.2075 0.027500153 -0.048889242 1
4.26 0.024999857 0.6947925 1
4.3125 0.027500153 -0.0635166 1
4.365 0.024999857 0.34141493 1
4.415 0.025000095 1.1128262 1
4.4674997 0.027499914 0.27288398 1
4.5225 0.027500153 0.81903195 1
4.5675 0.017499924 1.6900878 1
4.6175003 0.03250003 -0.40888005 1
4.6825 0.03250003 0.34965774 1
4.745 0.029999971 0.33116445 1
4.8025 0.027499914 0.5591398 1
4.8599997 0.029999971 0.53243977 1
4.915 0.025000095 1.208099 1
4.9775 0.037499905 -0.5541065 1
5.045 0.029999971 0.7160492 1
5.095 0.01999998 2.2969644 1
5.145 0.03000021 0.6914677 1
5.2075 0.03249979 0.5253536 1
5.2825 0.04250002 -0.6016345 1
5.3575 0.03250003 0.9273813 1
5.425 0.035000086 0.41503358 1
5.5074997 0.047499895 -0.86071455 1
5.5924997 0.037500143 0.59691393 1
5.6675 0.037499905 0.65540826 1
5.745 0.03999996 0.7117296 1
5.8374996 0.05250001 -0.40959963 1
5.9325 0.04250002 0.43926716 1
6.0125 0.037500143 0.98532647 1
6.1000004 0.049999952 -0.067911565 1
6.1825 0.03250003 1.823766 1
6.2650003 0.049999952 0.614578 1
6.38 0.06500006 -0.2734334 1
6.51 0.06499982 -0.09282598 1
6.645 0.07000017 -0.06573174 1
6.8 0.08500004 -0.87001556 1
6.9425 0.057499886 1.052792 1
7.0575 0.057499886 1.3270038 1
7.2225 0.10750008 -0.93454105 1
7.4475 0.11750007 -0.5337489 1
7.675 0.109999895 0.06350326 1
8.059999 0.2750001 1.1103088 1
8.6875 0.35249996 -0.107531376 1
9.3675 0.32749987 -1.4970856 1
