READ SERR 1 2
@wdata.pco
!
2.01373 0.007459998 -0.08320878 1
2.026165 0.0049750805 0.46462792 1
2.038605 0.0074648857 0.21524765 1
2.051045 0.0049750805 0.54171485 1
2.0609999 0.004979968 0.7560297 1
2.07096 0.004979968 -0.037222885 1
2.0809197 0.004979968 0.8096814 1
2.09337 0.007470131 -0.9935426 1
2.1058202 0.004979968 0.41834158 1
2.1157851 0.004984975 1.2596405 1
2.12575 0.004979968 1.3122811 1
2.138205 0.0074750185 -0.9230503 1
2.1506648 0.004984975 0.90970725 1
2.1656199 0.009970069 -1.2383558 1
2.185565 0.0099749565 -1.8211154 1
2.20053 0.0049899817 0.66219854 1
2.2129998 0.0074800253 0.23487625 1
2.2279649 0.007485032 -0.1224043 1
2.242935 0.007484913 -0.095140845 1
2.257905 0.007485032 0.5575417 1
2.27038 0.004990101 1.9779935 1
2.28535 0.009979963 -0.88690406 1
2.305315 0.00998497 0.06337247 1
2.3227901 0.007490039 0.87592316 1
2.33777 0.0074899197 1.1955928 1
2.355245 0.009985089 0.061654206 1
2.37522 0.009989977 0.12990594 1
2.3952 0.009989977 0.73094064 1
2.4176798 0.012489915 -0.7271824 1
2.4426548 0.012485027 -1.4229796 1
2.467635 0.012495041 -0.5196093 1
2.49262 0.012490034 -1.7037399 1
2.515105 0.009994984 0.014560702 1
2.5350952 0.009995103 -0.3708746 1
2.5550852 0.009994984 0.5459719 1
2.5750751 0.009994984 1.672996 1
2.595065 0.009994984 0.74184954 1
2.61506 0.00999999 0.95088077 1
2.635055 0.009994984 -0.23076913 1
2.655045 0.009994984 -0.17299008 1
2.67754 0.012500048 -0.5365824 1
2.700035 0.009994984 0.1730239 1
2.71753 0.0074999332 1.965365 1
2.73253 0.0075000525 1.1611292 1
2.74753 0.0074999332 1.5975786 1
2.7725248 0.017495036 -1.8705958 1
2.7975202 0.0075000525 1.3678588 1
2.8175201 0.0124999285 0.49684337 1
2.840015 0.009994984 0.5668379 1
2.86001 0.00999999 0.5887093 1
2.88251 0.012500048 -0.36910638 1
2.9100099 0.014999986 -0.85223246 1
2.94001 0.014999986 -1.6556426 1
2.96751 0.012500048 -0.055321444 1
2.99001 0.00999999 0.68607354 1
3.015005 0.014994979 -1.4029323 1
3.045 0.014999986 -1.1352658 1
3.07 0.00999999 1.0735964 1
3.0925 0.012500048 -0.3379882 1
3.1125 0.0074999332 1.6849824 1
3.135 0.015000105 -1.0587857 1
3.1575 0.0074999332 1.7422097 1
3.1725001 0.0075000525 2.2724779 1
3.1975 0.017499924 -1.5214409 1
3.2275 0.012500048 0.27720398 1
3.25 0.00999999 1.1856927 1
3.275 0.014999986 -0.20667018 1
3.3025 0.012500048 0.6194087 1
3.3274999 0.0124999285 1.0012337 1
3.35 0.00999999 1.3637075 1
3.38 0.0200001 -1.5828741 1
3.4125 0.0124999285 1.3793994 1
3.4375 0.012500048 0.49893132 1
3.4625 0.0124999285 0.70794636 1
3.485 0.00999999 1.4983283 1
3.5124998 0.017500043 -0.75948405 1
3.5525 0.022500038 -1.6168693 1
3.585 0.00999999 1.6051816 1
3.6100001 0.014999986 -0.030586343 1
3.6425 0.017500043 -0.46217498 1
3.6775 0.017499924 0.43344307 1
3.715 0.01999998 -0.81436026 1
3.75 0.015000105 0.5969404 1
3.7875 0.022499919 -1.3429427 1
3.8274999 0.017500043 -0.3798154 1
3.865 0.01999998 0.4971041 1
3.9075 0.022500038 -1.0622927 1
3.9475 0.017499924 0.2880245 1
3.9775 0.012500048 1.961301 1
4.01 0.0200001 -0.40601498 1
4.0575 0.027499914 -2.17559 1
4.105 0.01999998 0.009862905 1
4.1425 0.017499924 0.58515733 1
4.175 0.015000105 1.05237 1
4.2125 0.022500038 -0.9525789 1
4.2575 0.022500038 -0.82698995 1
4.3025 0.0224998 -0.7417751 1
4.3424997 0.017500162 0.9186501 1
4.3775 0.017499924 0.5975659 1
4.4175 0.022500038 0.08839327 1
4.4625 0.022500038 -0.38118172 1
4.5025 0.017499924 1.1295128 1
4.5425 0.022500038 -0.059982236 1
4.58 0.0149998665 1.3536493 1
4.6099997 0.015000105 1.9187918 1
4.645 0.01999998 0.3813732 1
4.6825 0.017499924 0.9063271 1
4.7275 0.027500153 -0.8998149 1
4.77 0.0149998665 1.7630295 1
4.8 0.015000105 1.8065728 1
4.84 0.024999857 -0.17464022 1
4.8875 0.022500038 0.24237104 1
4.925 0.015000105 1.747857 1
4.9674997 0.027499914 -0.23678774 1
5.0249996 0.029999971 -0.12474064 1
5.075 0.01999998 1.2059695 1
5.1175 0.022500038 0.83012706 1
5.175 0.035000086 -0.8616445 1
5.2275 0.017499924 1.6270875 1
5.2749996 0.029999971 -0.26937774 1
5.3325 0.027500153 0.3878064 1
5.3875 0.027499914 0.541484 1
5.45 0.035000086 -0.37256747 1
5.5299997 0.044999838 -1.5506457 1
5.6 0.025000095 1.2989202 1
5.6675 0.04250002 -1.468677 1
5.74 0.029999971 0.78262126 1
5.8025 0.03250003 0.1322901 1
5.875 0.03999996 -0.8079445 1
5.9475 0.03250003 0.64623016 1
6.01 0.029999971 0.9871757 1
6.0725 0.03250003 0.5562107 1
6.1425 0.037499905 0.06553718 1
6.2075 0.027500153 1.3229017 1
6.27 0.034999847 0.6074858 1
6.3450003 0.0400002 0.18311225 1
6.425 0.03999996 0.32772195 1
6.5075 0.04250002 0.22887416 1
6.5875 0.037499905 0.82022214 1
6.6575003 0.03250003 1.3825431 1
6.7250004 0.035000086 1.2617748 1
6.8275003 0.067499876 -1.2951312 1
6.955 0.059999943 -0.010849802 1
7.1099997 0.09500003 -2.5500362 1
7.2625 0.057500124 0.639496 1
7.4 0.07999992 -0.65691364 1
7.54 0.059999943 0.95090103 1
7.6775 0.077500105 0.12631862 1
7.815 0.059999943 -0.25718895 1
8.362499 0.13250017 1.2037452 1
8.63 0.13500023 -0.42917562 1
8.98 0.21499968 -1.8231531 1
9.315001 0.12000036 1.8534596 1
9.690001 0.25499964 -0.4424248 1
