        SRCID      OBS_ID                   RA                  DEC       EP_8_CTS             NAME
            J         10A                    D                    D              E              15A
                                           deg                  deg          count                 
       116980  0204790401   1.012075824481E+01   4.183025281779E+01   4.369750E+01          NGC 205
       116949  0204790401   1.012715632969E+01   4.169788441998E+01   1.056610E+02          NGC 205
       117156  0204790401   1.015926391452E+01   4.168330384657E+01   3.412920E+02          NGC 205
        49213  0204790401   1.016596296340E+01   4.155116286050E+01   9.533270E+01          NGC 205
        49213  0402560901   1.016635847430E+01   4.155173568428E+01   6.823080E+01          NGC 205
       117227  0402560901   1.017415316004E+01   4.153126739342E+01   4.512630E+01          NGC 205
        50825  0204790401   1.019195868262E+01   4.168052785979E+01   7.606520E+01          NGC 205
        50825  0402560901   1.019118413116E+01   4.168092070901E+01   1.432810E+02          NGC 205
       117094  0204790401   1.019519554182E+01   4.170295779272E+01   4.481860E+01          NGC 205
        50268  0204790401   1.020391782891E+01   4.160919096016E+01   4.094650E+01          NGC 205
        50268  0402560901   1.020427347790E+01   4.160870067277E+01   6.062420E+01          NGC 205
         1972  0672130601   1.064577134387E+01   4.081098899088E+01   3.460920E+03          NGC 221
         1972  0672130101   1.064583368515E+01   4.081072190461E+01   3.584750E+03          NGC 221
         1972  0672130701   1.064599282862E+01   4.081113004983E+01   4.468900E+03          NGC 221
         1972  0672130501   1.064575925118E+01   4.081099106750E+01   1.440650E+03          NGC 221
         1972  0112570201   1.064605967263E+01   4.081140748129E+01   9.702200E+02          NGC 221
         1972  0402560201   1.064535822086E+01   4.081143436955E+01   6.694440E+02          NGC 221
         1972  0505760201   1.064560540353E+01   4.081117748321E+01   1.219710E+03          NGC 221
         1972  0511380201   1.064608963536E+01   4.081102016228E+01   3.086080E+02          NGC 221
         1972  0511380601   1.064580264199E+01   4.081097194040E+01   1.967200E+02          NGC 221
         1972  0402560401   1.064554526691E+01   4.081081911069E+01   1.344340E+03          NGC 221
       114655  0672130101   1.064564098366E+01   4.088033635410E+01   9.202410E+01          NGC 221
         8984  0672130601   1.065265239034E+01   4.093442489404E+01   9.085250E+01          NGC 221
         8984  0112570201   1.065272405478E+01   4.093451170016E+01   8.820150E+01          NGC 221
         8984  0505760201   1.065208552607E+01   4.093540808863E+01   7.018710E+01          NGC 221
       114704  0402560201   1.065972244748E+01   4.087405804033E+01   5.019620E+01          NGC 221
         2241  0672130601   1.067713407334E+01   4.086468229176E+01   4.517190E+04          NGC 221
         2241  0672130101   1.067711861635E+01   4.086440116189E+01   4.298760E+04          NGC 221
         2241  0672130701   1.067722286019E+01   4.086470756713E+01   4.337590E+04          NGC 221
         2241  0672130501   1.067713157905E+01   4.086467981732E+01   1.413130E+04          NGC 221
