READ SERR 1 2
@wdata.pco
!
2.0311399 0.009950042 0.8720024 1
2.048555 0.007465005 1.6937543 1
2.06349 0.0074700117 1.900062 1
2.07843 0.0074698925 1.9339815 1
2.09835 0.012450099 0.61611754 1
2.120765 0.009964943 1.2030469 1
2.1406999 0.00996995 1.9608207 1
2.165625 0.014955163 0.10675551 1
2.19554 0.014959931 -0.19834143 1
2.222975 0.012475014 0.8726102 1
2.2479248 0.0124748945 1.3901824 1
2.277865 0.017465115 0.7839909 1
2.3128052 0.017475009 1.1822294 1
2.35275 0.022469997 0.47173557 1
2.397695 0.022474885 0.67057145 1
2.43516 0.014990091 2.045394 1
2.4701352 0.01998508 1.0152831 1
2.5151052 0.024984956 0.27477 1
2.56258 0.022490025 0.98979276 1
2.6000652 0.014994979 2.0741208 1
2.64255 0.02749002 -0.06770073 1
2.7025352 0.032494903 -0.6284823 1
2.760025 0.024995089 1.0777562 1
2.815015 0.029994965 0.21924908 1
2.8800101 0.034999967 -0.035292126 1
2.93751 0.022500038 1.5528418 1
3.002505 0.042495012 -0.6319754 1
3.085 0.03999996 0.13918218 1
3.1525002 0.027500033 1.7376755 1
3.24 0.059999943 -1.6608561 1
3.3425 0.04250002 0.15856907 1
3.425 0.03999996 1.2613872 1
3.505 0.04000008 0.8599348 1
3.5925002 0.047500014 0.37384462 1
3.6775 0.037499905 1.7029096 1
3.755 0.04000008 1.2853135 1
3.845 0.049999952 1.140195 1
3.96 0.06500006 0.07695733 1
4.08 0.055000067 0.7718969 1
4.195 0.059999943 0.6948336 1
4.31 0.05499983 1.2433529 1
4.45 0.08500004 -0.22408311 1
4.6025 0.067500114 1.4379069 1
4.7375 0.067499876 1.4061142 1
4.9725 0.16750002 -2.7285705 1
5.2825003 0.14250016 -0.8591298 1
5.545 0.119999886 0.590099 1
5.77 0.10500002 1.7088042 1
6.0175 0.14249992 0.8291958 1
6.3275 0.16750002 0.74076927 1
6.66 0.16499996 1.3322191 1
7.1675 0.3425002 -0.33249846 1
8.305 0.7950001 -0.15986727 1
